price,ratings,pagenum,originalprice,discount,brand,processor,rear_camera_mp,front_camera_mp,phone_warranty_category,box_warranty_category,battery_m_ah,display_inches,ram,storage
599,4.0,8,999,40%,Jmax,Dimensity 6300 Processor,0.3MP,0.3MP,Up to 6 Months,No Warranty,1150,1.8,8,0
29999,4.3,8,36999,18%,MOTOROLA,Dimensity 8350 Processor,50MP,50MP + 50MP + 10MP,1 Year,1 Year,6000,6.7,8,256
24799,4.3,8,26999,8%,IQOO,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,5700,6.77,12,256
1430,3.8,8,1999,28%,Micromax,Dimensity 6300 Processor,0.3MP,0.3MP,No Warranty,No Warranty,2700,2.4,8,0
17999,4.4,8,19999,10%,Infinix,Dimensity 7300 Ultimate Processor,50MP,64MP + 2MP,1 Year,1 Year,5500,6.78,6,128
25455,4.3,9,26999,5%,IQOO,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,5700,6.77,12,256
863,3.1,9,1998,56%,Samsung,Dimensity 6300 Processor,50MP,0MP,1 Year,No Warranty,5500,1.8,8,0
599,3.9,9,1199,50%,Jmax,Dimensity 6300 Processor,0.3MP,0.3MP,Up to 6 Months,No Warranty,1100,1.8,8,0
25965,4.5,9,28999,10%,OnePlus,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,7100,6.77,8,128
25999,4.6,9,32999,21%,realme,Dimensity 7400 Ultra Processor,50MP,50MP + 8MP,1 Year,1 Year,10001,6.8,8,128
1409,4.0,9,1599,11%,itel,Dimensity 6300 Processor,0.8MP,50MP,1 Year,No Warranty,2000,2.4,32,0
599,4.0,9,999,40%,Jmax,Dimensity 6300 Processor,0.3MP,0.3MP,Up to 6 Months,No Warranty,1150,1.8,8,0
6999,4.3,9,7999,12%,Ai,T615 Processor,50MP,5MP,1 Year,1 Year,5000,6.745,4,64
783,3.1,9,1698,53%,Samsung,Dimensity 6300 Processor,50MP,0MP,No Warranty,No Warranty,5500,1.8,8,0
15999,4.4,9,32999,21%,OPPO,Dimensity 6300 Processor,50MP,8MP,1 Year,1 Year,6000,6.67,4,128
15280,4.3,9,16999,10%,IQOO,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,6000,6.74,8,256
11878,4.2,9,12999,8%,REDMI,Snapdragon 4s Gen 2 5G Processor,50MP,50MP + 50MP,1 Year,1 Year,5160,6.88,6,128
1028,4.1,9,1399,26%,LAVA,Mtk Processor,50MP,0MP,1 Year,1 Year,1000,2.0,32,0
29999,4.5,9,32999,9%,Nothing,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,5000,6.7,8,128
34999,4.4,9,42999,18%,OPPO,Dimensity 6300 Processor,50MP,50MP + 8MP + 2MP,1 Year,1 Year,7000,6.57,8,256
11998,4.2,9,13999,14%,IQOO,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,6000,6.74,4,128
13060,4.3,9,14999,12%,IQOO,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,6000,6.74,6,128
1259,3.7,9,1599,21%,Nokia,SC6531E Processor,50MP,0MP,Up to 6 Months,Up to 6 Months,1000,1.77,8,0
33999,4.5,9,36999,8%,Nothing,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,5000,6.7,12,256
8497,4.3,9,8999,5%,realme,Dimensity 6300 Processor,32MP,32MP,1 Year,No Warranty,6300,6.74,4,64
