product_name,price,ratings,features,pagenum,originalprice,Discount,Review
"realme P4x 5G (Matte Silver, 256 GB)","₹19,999",4.3,8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera7000 mAh BatteryDimensity 7400 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,22,"₹20,999",4% off,"2,359 Ratings & 201 Reviews"
"OnePlus Nord 5 5G (Phantom Grey, 256 GB)","₹37,923",4.5,12 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Display50MP Rear Camera6800 mAh Battery1 Year Warranty,22,"₹37,999",,"1,656 Ratings & 127 Reviews"
"Tecno Pova Slim 5G (Cool Black, 128 GB)","₹20,999",4.3,8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Display50MP + 2MP | 13MP Front Camera5160 mAh BatteryDimensity 6400 5G Processor1 Year Manufacturer Warranty for Phone,22,"₹24,999",16% off,917 Ratings & 70 Reviews
"OnePlus Nord 5 5G (Phantom Grey, 512 GB)","₹38,970",4.5,12 GB RAM | 512 GB ROM17.35 cm (6.83 inch) Display50MP Rear Camera6800 mAh Battery1 Year Warranty,22,"₹40,999",4% off,"1,656 Ratings & 127 Reviews"
"Samsung Galaxy A06 5G (Light Gray, 64 GB)","₹10,890",4.1,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) HD+ Display50MP + 50MP | 8MP + 2MP Dual Front Camera5000 mAh Batterymediatek Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,23,"₹13,999",22% off,"2,876 Ratings & 169 Reviews"
LAVA A3 Torch,"₹1,259",4.2,4 MB RAM | 32 MB ROM | Expandable Upto 32 GB4.57 cm (1.8 inch) HVGA Display0.3MP + 0MP | 0MP Front Camera1750 mAh BatteryMtk Processor1 Year Handset Domestic warranty,23,"₹1,649",23% off,680 Ratings & 44 Reviews
"realme P4 Power 5G (TransSilver, 128 GB)","₹25,999",4.6,8 GB RAM | 128 GB ROM17.27 cm (6.8 inch) Full HD+ AMOLED Display50MP + 8MP | Yes10001 mAh BatteryDimensity 7400 Ultra Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,23,"₹32,999",21% off,"1,008 Ratings & 90 Reviews"
itel Ace 3 Shine,₹987,4.1,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB4.57 cm (1.8 inch) QVGA Display1000 mAh BatteryUnisoc Processor1 year manufacturer Warranty,23,"₹1,499",34% off,"1,607 Ratings & 67 Reviews"
Kechaoda A27,₹899,4,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB1.68 cm (0.66 inch) QVGA Display0MP | 0MP Front Camera800 mAh BatteryNA Processor3 Months Company Warranty,23,"₹1,499",40% off,"16,259 Ratings & 869 Reviews"
"Tecno Spark 30C 5G (Azure Sky, 128 GB)","₹12,999",4.2,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display48MP Rear Camera | 8MP Front Camera5000 mAh BatteryDimensity 6300 5G Processor1 Year Manufacturer Warranty for Phone,23,"₹14,999",13% off,161 Ratings & 12 Reviews
"Samsung Galaxy F55 5G (Apricot Crush, 256 GB)","₹22,999",4,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 2MP | 50MP Front Camera5000 mAh Battery7 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,23,"₹31,999",28% off,"3,225 Ratings & 258 Reviews"
"Apple iPhone 16 Plus (Black, 256 GB)","₹89,900",4.6,"256 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",15,,,"4,342 Ratings & 229 Reviews"
"Tecno Pova Slim 5G (Cool Black, 128 GB)","₹20,999",4.3,8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Display50MP + 2MP | 13MP Front Camera5160 mAh BatteryDimensity 6400 5G Processor1 Year Manufacturer Warranty for Phone,23,"₹24,999",16% off,917 Ratings & 70 Reviews
"Ai+ Nova 5G (Sparkle Red, 128 GB)","₹9,999",3.9,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT8200 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,23,"₹12,999",23% off,"4,641 Ratings & 393 Reviews"
